series_id,date,value
JTS000000000000000JOL,2022-04-01,11881.0
JTS000000000000000JOL,2022-05-01,11483.0
JTS000000000000000JOL,2022-06-01,11256.0
JTS000000000000000JOL,2022-07-01,11610.0
JTS000000000000000JOL,2022-08-01,10148.0
JTS000000000000000JOL,2022-09-01,10812.0
JTS000000000000000JOL,2022-10-01,10488.0
JTS000000000000000JOL,2022-11-01,10619.0
JTS000000000000000JOL,2022-12-01,10876.0
JTS000000000000000JOL,2023-01-01,10393.0
JTS000000000000000JOL,2023-02-01,9846.0
JTS000000000000000JOL,2023-03-01,9572.0
JTS000000000000000JOL,2023-04-01,9992.0
JTS000000000000000JOL,2023-05-01,9310.0
JTS000000000000000JOL,2023-06-01,9191.0
JTS000000000000000JOL,2023-07-01,8606.0
JTS000000000000000JOL,2023-08-01,9287.0
JTS000000000000000JOL,2023-09-01,9279.0
JTS000000000000000JOL,2023-10-01,8550.0
JTS000000000000000JOL,2023-11-01,8663.0
JTS000000000000000JOL,2023-12-01,8585.0
JTS000000000000000JOL,2024-01-01,8468.0
JTS000000000000000JOL,2024-02-01,8445.0
JTS000000000000000JOL,2024-03-01,8093.0
JTS000000000000000JOL,2024-04-01,7619.0
JTS000000000000000JOL,2024-05-01,7901.0
JTS000000000000000JOL,2024-06-01,7412.0
JTS000000000000000JOL,2024-07-01,7504.0
JTS000000000000000JOL,2024-08-01,7649.0
JTS000000000000000JOL,2024-09-01,7103.0
JTS000000000000000JOL,2024-10-01,7615.0
JTS000000000000000JOL,2024-11-01,8031.0
JTS000000000000000JOL,2024-12-01,7508.0
JTS000000000000000JOL,2025-01-01,7762.0
JTS000000000000000JOL,2025-02-01,7480.0
JTS000000000000000JOL,2025-03-01,7200.0
JTS000000000000000JOL,2025-04-01,7395.0
JTS000000000000000JOL,2025-05-01,7712.0
JTS000000000000000JOL,2025-06-01,7357.0
JTS000000000000000JOL,2025-07-01,7208.0
JTS000000000000000JOL,2025-08-01,7227.0
LNS11300000,2015-01-01,62.9
LNS11300000,2015-02-01,62.7
LNS11300000,2015-03-01,62.6
LNS11300000,2015-04-01,62.8
LNS11300000,2015-05-01,62.9
LNS11300000,2015-06-01,62.7
LNS11300000,2015-07-01,62.6
LNS11300000,2015-08-01,62.6
LNS11300000,2015-09-01,62.4
LNS11300000,2015-10-01,62.5
LNS11300000,2015-11-01,62.5
LNS11300000,2015-12-01,62.7
LNS11300000,2016-01-01,62.7
LNS11300000,2016-02-01,62.8
LNS11300000,2016-03-01,63.0
LNS11300000,2016-04-01,62.9
LNS11300000,2016-05-01,62.7
LNS11300000,2016-06-01,62.7
LNS11300000,2016-07-01,62.8
LNS11300000,2016-08-01,62.9
LNS11300000,2016-09-01,62.9
LNS11300000,2016-10-01,62.8
LNS11300000,2016-11-01,62.7
LNS11300000,2016-12-01,62.7
LNS11300000,2017-01-01,62.8
LNS11300000,2017-02-01,62.9
LNS11300000,2017-03-01,62.9
LNS11300000,2017-04-01,63.0
LNS11300000,2017-05-01,62.8
LNS11300000,2017-06-01,62.8
LNS11300000,2017-07-01,62.9
LNS11300000,2017-08-01,62.9
LNS11300000,2017-09-01,63.1
LNS11300000,2017-10-01,62.7
LNS11300000,2017-11-01,62.7
LNS11300000,2017-12-01,62.7
LNS11300000,2018-01-01,62.7
LNS11300000,2018-02-01,63.0
LNS11300000,2018-03-01,62.9
LNS11300000,2018-04-01,62.9
LNS11300000,2018-05-01,62.9
LNS11300000,2018-06-01,63.0
LNS11300000,2018-07-01,63.0
LNS11300000,2018-08-01,62.6
LNS11300000,2018-09-01,62.8
LNS11300000,2018-10-01,62.9
LNS11300000,2018-11-01,62.9
LNS11300000,2018-12-01,63.0
LNS11300000,2019-01-01,63.1
LNS11300000,2019-02-01,63.1
LNS11300000,2019-03-01,63.0
LNS11300000,2019-04-01,62.8
LNS11300000,2019-05-01,62.9
LNS11300000,2019-06-01,63.0
LNS11300000,2019-07-01,63.1
LNS11300000,2019-08-01,63.1
LNS11300000,2019-09-01,63.2
LNS11300000,2019-10-01,63.3
LNS11300000,2019-11-01,63.3
LNS11300000,2019-12-01,63.3
LNS11300000,2020-01-01,63.3
LNS11300000,2020-02-01,63.3
